site_code,currency_code,2026-01-26,2025-01-26
ae,AED,0.272294078,0.272294078
ae_ar,AED,0.272294078,0.272294078
africa_en,ZAR,0.06264009,0.05436843
africa_fr,ZAR,0.06264009,0.05436843
africa_pt,ZAR,0.06264009,0.05436843
al,EUR,1.188465494,1.049489399
ar,ARS,0.000695038,0.000956021
at,EUR,1.188465494,1.049489399
au,AUD,0.693220896,0.631383318
az,AZN,0.588144933,0.588235278
ba,EUR,1.188465494,1.049489399
bd,BDT,0.008172158,0.008197003
be,USD,1,1
be_fr,USD,1,1
bg,EUR,1.188465494,1.049489399
br,BRL,0.189621883,0.169304202
ca,CAD,0.730209006,0.697231044
ca_fr,CAD,0.730209006,0.697231044
ch,CHF,1.289599523,1.103960037
ch_fr,CHF,1.289599523,1.103960037
cl,CLP,0.001158459,0.001018138
cn,CNY,0.143801783,0.138047451
co,COP,0.000272076,0.000239507
cz,CZK,0.049050917,0.041822631
de,USD,1,1
dk,DKK,0.15912442,0.140623284
ee,EUR,1.188465494,1.049489399
eg,EGP,0.021289003,0.019898161
es,USD,1,1
fi,EUR,1.188465494,1.049489399
fr,EUR,1.188465494,1.049489399
ge,GEL,0.371569783,0.346812795
gr,EUR,1.188465494,1.049489399
hk,HKD,1.28E-01,1.28E-01
hk_en,HKD,0.128238698,0.128419
hr,EUR,1.188465494,1.049489399
hu,HUF,0.00311737,0.002573883
id,IDR,5.97E-05,6.18E-05
ie,EUR,1.188465494,1.049489399
il,ILS,3.21E-01,2.80E-01
in,INR,0.010900781,0.011604998
iq_ar,IQD,0.000763183,0.000763172
iq_ku,IQD,0.000763183,0.000763172
iran,IRR,9.29E-07,2.38E-05
it,EUR,1.188465494,1.049489399
jp,JPY,0.006497792,0.006411634
kz_kz,KZT,1.99E-03,1.93E-03
kz_ru,KZT,1.99E-03,1.93E-03
latin,USD,1.00E+00,1.00E+00
latin_en,USD,1,1
lb,LBP,1.12E-05,1.12E-05
levant,LBP,1.12E-05,1.12E-05
levant_ar,LBP,1.12E-05,1.12E-05
lt,EUR,1.188465494,1.049489399
lv,EUR,1.188465494,1.049489399
mk,EUR,1.188465494,1.049489399
mm,MMK,0.000476179,0.000476235
mn,MNT,0.000280494,0.000290266
mx,MXN,0.057759422,0.049323274
my,MYR,0.252156519,0.228419614
n_africa,USD,1,1
nl,USD,1,1
no,NOK,0.102492684,0.089485287
nz,NZD,0.598795067,0.570954793
pe,PEN,0.298429268,0.268797866
ph,PHP,0.016930503,0.017149852
pk,PKR,0.003570975,0.003588227
pl,PLN,0.282590569,0.249152186
ps,ILS,0.320777652,0.279527451
pt,USD,1,1
py,PYG,0.000150303,0.000125981
ro,RON,0.233184327,0.210979683
rs,EUR,1.188465494,1.049489399
ru,RUB,0.013084305,0.010224951
sa,SAR,0.266666667,0.266666667
sa_en,SAR,0.266666667,0.266666667
se,SEK,0.112032782,0.091500053
sec,KRW,0.000693519,0.000700024
sg,SGD,0.788114783,0.742931847
si,EUR,1.188465494,1.049489399
sk,EUR,1.188465494,1.049489399
th,THB,3.22E-02,2.98E-02
tr,TRY,2.31E-02,2.81E-02
tw,TWD,3.18E-02,3.05E-02
ua,UAH,0.02322199,0.023756876
uk,USD,1,1
us,USD,1,1
uy,UYU,0.026688885,0.022921869
uz_ru,UZS,8.27E-05,7.70E-05
uz_uz,UZS,8.27E-05,7.70E-05
vn,VND,3.82E-05,3.99E-05
za,ZAR,0.06264009,0.05436843
BH,AED,0.272294078,0.272294078
BH_AR,AED,0.272294078,0.272294078
KW,AED,0.272294078,0.272294078
KW_AR,AED,0.272294078,0.272294078
OM,AED,0.272294078,0.272294078
OM_AR,AED,0.272294078,0.272294078
QA,AED,0.272294078,0.272294078
QA_AR,AED,0.272294078,0.272294078
ku,IQD,0.000763183,0.000763172
